iter,label,metric,df,F,R2,p,n_units,n_trt_lvls
73,Rarefied,Gower (prop→z),2,2.146544630704083,0.4170846237100292,0.062,9,3
74,Rarefied,Jaccard (incidence),2,1.044257731598187,0.2582075131956348,0.396,9,3
74,Rarefied,Gower (sqrt→z),2,4.332676133201266,0.5908724256323765,0.022,9,3
74,Rarefied,Gower (prop→z),2,1.4027956844527383,0.3186147586648922,0.162,9,3
75,Rarefied,Jaccard (incidence),2,2.134256368663586,0.41568948167251707,0.093,9,3
75,Rarefied,Gower (sqrt→z),2,5.095704920230316,0.629433134043298,0.012,9,3
75,Rarefied,Gower (prop→z),2,2.407766975245572,0.4452423682949528,0.032,9,3
76,Rarefied,Jaccard (incidence),2,3.5566357489655864,0.5424482745631709,0.007,9,3
76,Rarefied,Gower (sqrt→z),2,4.503732839328629,0.6001989857266274,0.004,9,3
76,Rarefied,Gower (prop→z),2,2.6359330736472915,0.46770127309930043,0.022,9,3
77,Rarefied,Jaccard (incidence),2,1.6240770592121456,0.35122188458703085,0.14,9,3
77,Rarefied,Gower (sqrt→z),2,5.447260707591149,0.6448552845889977,0.006,9,3
77,Rarefied,Gower (prop→z),2,1.772545479215079,0.3714046281873467,0.057,9,3
78,Rarefied,Jaccard (incidence),2,1.1633802300867977,0.2794316554802258,0.35,9,3
78,Rarefied,Gower (sqrt→z),2,4.817968793920281,0.6162686141273706,0.018,9,3
78,Rarefied,Gower (prop→z),2,1.2308753891669915,0.2909268829610545,0.316,9,3
79,Rarefied,Jaccard (incidence),2,1.4057056698351393,0.31906481621314037,0.233,9,3
79,Rarefied,Gower (sqrt→z),2,4.058387239592074,0.574973730093423,0.017,9,3
79,Rarefied,Gower (prop→z),2,1.3910937091522786,0.31679891190954246,0.185,9,3
80,Rarefied,Jaccard (incidence),2,2.0162827704589876,0.40194759002282066,0.013,9,3
80,Rarefied,Gower (sqrt→z),2,5.677438986309586,0.6542758750902073,0.002,9,3
80,Rarefied,Gower (prop→z),2,2.3425428232981056,0.4384696390420295,0.025,9,3
81,Rarefied,Jaccard (incidence),2,1.6626607381808132,0.35659054594427086,0.164,9,3
