scenario_id,scenario_type,requested_n_species,n_species_full_scope,n_species_condition_scope,species,total_count,prevalence,genus,family,abundance_rank,total_count_condition,prevalence_condition
top_015_by_abundance,ranked_top_N,15,15,15,Alpheus lottini,111,40,Alpheus,Alpheidae,13,89,33
top_015_by_abundance,ranked_top_N,15,15,15,Synalpheus charon,92,50,Synalpheus,Alpheidae,14,78,41
top_015_by_abundance,ranked_top_N,15,15,15,Diala albugo,92,34,Diala,Dialidae,15,74,26
top_020_by_abundance,ranked_top_N,20,20,20,Fennera chacei,1216,48,Fennera,Palaemonidae,1,1080,41
top_020_by_abundance,ranked_top_N,20,20,20,Galeropsis monodonta,1028,53,Galeropsis,Muricidae,2,974,44
top_020_by_abundance,ranked_top_N,20,20,20,Periclimenes watamuae,327,35,Periclimenes,Palaemonidae,3,302,31
top_020_by_abundance,ranked_top_N,20,20,20,Trapezia serenei,314,54,Trapezia,Trapeziidae,4,257,44
top_020_by_abundance,ranked_top_N,20,20,20,Harpiliopsis spinigera,266,52,Harpiliopsis,Palaemonidae,5,237,44
top_020_by_abundance,ranked_top_N,20,20,20,Calcinus latens,224,44,Calcinus,Diogenidae,6,150,36
top_020_by_abundance,ranked_top_N,20,20,20,Dascyllus aruanus,197,39,Dascyllus,Pomacentridae,7,168,32
top_020_by_abundance,ranked_top_N,20,20,20,Paragobiodon modestus,156,41,Paragobiodon,Gobiidae,8,136,34
top_020_by_abundance,ranked_top_N,20,20,20,Apataxia cerithiiformis,145,37,Apataxia,Rissoinidae,9,110,29
top_020_by_abundance,ranked_top_N,20,20,20,Galathea mauritiana,130,30,Galathea,Galatheidae,10,54,21
top_020_by_abundance,ranked_top_N,20,20,20,Athanas djiboutensis,115,27,Athanas,Alpheidae,11,74,20
top_020_by_abundance,ranked_top_N,20,20,20,Dascyllus flavicaudus,113,28,Dascyllus,Pomacentridae,12,106,25
top_020_by_abundance,ranked_top_N,20,20,20,Alpheus lottini,111,40,Alpheus,Alpheidae,13,89,33
top_020_by_abundance,ranked_top_N,20,20,20,Synalpheus charon,92,50,Synalpheus,Alpheidae,14,78,41
top_020_by_abundance,ranked_top_N,20,20,20,Diala albugo,92,34,Diala,Dialidae,15,74,26
top_020_by_abundance,ranked_top_N,20,20,20,Cerithium zebrum,91,37,Cerithium,Cerithiidae,16,79,30
top_020_by_abundance,ranked_top_N,20,20,20,Chlorodiella barbata,76,22,Chlorodiella,Xanthidae,17,19,14
top_020_by_abundance,ranked_top_N,20,20,20,Hargeria rapax,67,28,Hargeria,Leptocheliidae,18,39,22
top_020_by_abundance,ranked_top_N,20,20,20,Diala semistriata,57,25,Diala,Dialidae,19,46,18
top_020_by_abundance,ranked_top_N,20,20,20,Luniella pugil,50,31,Luniella,Xanthidae,20,39,26
top_025_by_abundance,ranked_top_N,25,25,25,Fennera chacei,1216,48,Fennera,Palaemonidae,1,1080,41
top_025_by_abundance,ranked_top_N,25,25,25,Galeropsis monodonta,1028,53,Galeropsis,Muricidae,2,974,44
top_025_by_abundance,ranked_top_N,25,25,25,Periclimenes watamuae,327,35,Periclimenes,Palaemonidae,3,302,31
top_025_by_abundance,ranked_top_N,25,25,25,Trapezia serenei,314,54,Trapezia,Trapeziidae,4,257,44
top_025_by_abundance,ranked_top_N,25,25,25,Harpiliopsis spinigera,266,52,Harpiliopsis,Palaemonidae,5,237,44
top_025_by_abundance,ranked_top_N,25,25,25,Calcinus latens,224,44,Calcinus,Diogenidae,6,150,36
top_025_by_abundance,ranked_top_N,25,25,25,Dascyllus aruanus,197,39,Dascyllus,Pomacentridae,7,168,32
top_025_by_abundance,ranked_top_N,25,25,25,Paragobiodon modestus,156,41,Paragobiodon,Gobiidae,8,136,34
